"victim_zip","SpeciesIDDesc","bite_date","BreedIDDesc","GenderIDDesc","color","vaccination_yrs","vaccination_date","AdvIssuedYNDesc","WhereBittenIDDesc","quarantine_date","DispositionIDDesc","head_sent_date","release_date","ResultsIDDesc","datadif","year","month","season","total","class","CountryCode","PlaceName","AdminName1","AdminCode1","AdminName2","AdminCode2","AdminName3","AdminCode3","latitude","longitude","accuracy"
"40213","CAT",2011-08-12,NA,"MALE","WHITE",1,"2011-08-11 00:00:00","NO","BODY","2011-08-15 00:00:00",NA,NA,NA,NA,NA,2011,8,"summer",1561,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2011-04-06,NA,NA,NA,NA,NA,"YES","BODY",NA,NA,NA,NA,NA,NA,2011,4,"spring",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","CAT",2010-11-01,NA,"UNKNOWN",NA,NA,NA,"YES","BODY","2010-11-03 00:00:00","UNKNOWN",NA,NA,"UNKNOWN",NA,2010,11,"fall",1561,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2012-01-26,NA,NA,NA,NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2012,1,"winter",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2010-08-01,NA,"UNKNOWN","WHITE",NA,NA,"NO","BODY","2010-08-02 00:00:00","UNKNOWN",NA,NA,"UNKNOWN",NA,2010,8,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2010-06-12,NA,"FEMALE","WHITE",NA,NA,"NO","BODY","2010-06-12 00:00:00","UNKNOWN",NA,NA,"UNKNOWN",NA,2010,6,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2012-06-02,NA,"MALE","BLACK",NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2012,6,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2010-10-03,NA,"MALE","TAN-WHITE",1,"2010-04-15 00:00:00","NO","HEAD","2010-10-05 00:00:00","RELEASED",NA,NA,"UNKNOWN",NA,2010,10,"fall",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2013-06-23,"PIT BULL","MALE","WHITE",1,"2012-10-05 00:00:00",NA,"HEAD",NA,NA,NA,NA,NA,NA,2013,6,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2012-02-16,"BOSTON TERRIER","FEMALE","BLK/WHT",1,"2011-08-08 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2012,2,"winter",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2013-07-07,"PIT BULL","MALE","BRN WHT",1,"2013-07-17 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2013,7,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2015-07-19,"PIT BULL",NA,"BROWN",NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2015,7,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213",NA,2014-06-27,NA,NA,NA,NA,NA,NA,"HEAD",NA,NA,NA,NA,NA,NA,2014,6,"summer",107,"wildlife","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2012-05-12,"GERM SHEPHERD","FEMALE","WHT/BRN",1,"2012-05-22 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2012,5,"spring",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","CAT",2010-08-29,NA,"UNKNOWN",NA,NA,NA,"NO","BODY","2010-08-30 00:00:00","UNKNOWN",NA,NA,"UNKNOWN",NA,2010,8,"summer",1561,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2017-07-20,"MALTASE","MALE","WHT BRN",1,"2017-03-14 00:00:00",NA,"UNKNOWN",NA,NA,NA,"2017-07-31 00:00:00",NA,NA,2017,7,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2015-06-23,"PIT BULL","MALE","BRN WHT",1,"2015-07-09 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2015,6,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2013-12-17,"GERM SHEPHERD","MALE","BRN BLK",1,"2014-01-15 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2013,12,"winter",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2012-01-08,"CHICHAUHUA","MALE","TAN/WHT",NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2012,1,"winter",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2015-04-01,"CHOW CHOW","MALE","BROWN",3,"2012-06-01 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2015,4,"spring",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2017-01-01,"BOXER","FEMALE","FAWN",NA,NA,NA,"BODY",NA,NA,NA,"2017-01-10 00:00:00",NA,NA,2017,1,"winter",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2017-02-09,"PIT BULL","MALE","BRN WHT",NA,NA,NA,"BODY",NA,NA,NA,"2017-02-21 00:00:00",NA,NA,2017,2,"winter",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2014-07-05,"PIT BULL","MALE","BRN WHT",1,"2014-07-02 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2014,7,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2010-05-22,NA,"MALE","BRN-SILVER",NA,"2010-06-09 00:00:00","NO","BODY","2010-05-22 00:00:00","UNKNOWN",NA,NA,"UNKNOWN",NA,2010,5,"spring",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2015-09-15,"PIT BULL","FEMALE","TAN",1,"2014-10-23 00:00:00",NA,"UNKNOWN",NA,NA,NA,"2015-09-25 00:00:00",NA,NA,2015,9,"fall",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2015-06-28,"PIT BULL","UNKNOWN","BRINDLE",NA,"2014-04-02 00:00:00",NA,"UNKNOWN",NA,NA,NA,NA,NA,NA,2015,6,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2017-06-08,"PIT BULL","MALE","BROWN",NA,NA,"NO","BODY","2017-06-09 00:00:00",NA,NA,NA,NA,NA,2017,6,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","CAT",2013-07-03,NA,"MALE","TAN",1,"2012-11-06 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2013,7,"summer",1561,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2011-11-04,NA,NA,NA,NA,NA,"YES","BODY",NA,NA,NA,NA,NA,NA,2011,11,"fall",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2012-11-03,NA,"MALE",NA,NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2012,11,"fall",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2010-10-08,NA,"MALE","BLACK",3,"2010-03-27 00:00:00","NO","BODY","2010-10-11 00:00:00","RELEASED",NA,NA,"UNKNOWN",NA,2010,10,"fall",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2013-03-01,NA,"MALE","WHITE",3,"2011-03-18 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2013,3,"spring",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2012-07-02,NA,"FEMALE","BLK/WHT",NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2012,7,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2016-04-02,"GERM SHEPHERD","FEMALE","BLK TAN",NA,"2015-05-01 00:00:00",NA,"BODY",NA,NA,NA,"2016-04-12 00:00:00",NA,NA,2016,4,"spring",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2016-12-29,"GREYHOUND",NA,NA,NA,NA,NA,"HEAD",NA,NA,NA,NA,NA,NA,2016,12,"winter",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2011-04-30,NA,"MALE","BROWN",3,"2008-10-02 00:00:00","NO","BODY","2011-05-02 00:00:00",NA,NA,NA,NA,NA,2011,4,"spring",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2017-03-24,"BEAGLE","FEMALE","BRN WHT",3,"2017-05-30 00:00:00",NA,"BODY",NA,NA,NA,"2017-04-05 00:00:00",NA,NA,2017,3,"spring",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2010-09-10,NA,"MALE","BLK-WHITE",1,"2010-03-16 00:00:00","NO","HEAD","2010-09-13 00:00:00","RELEASED",NA,NA,"UNKNOWN",NA,2010,9,"fall",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2014-03-25,NA,"MALE","BRINDLE",1,"2014-04-17 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2014,3,"spring",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2017-04-30,NA,NA,"WHT BRN",NA,NA,NA,"UNKNOWN",NA,NA,NA,NA,NA,NA,2017,4,"spring",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2012-05-15,"GREAT DANE",NA,NA,3,"2011-03-17 00:00:00",NA,"HEAD",NA,NA,NA,NA,NA,NA,2012,5,"spring",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2015-09-05,"PIT BULL","MALE","BROWN",1,"2015-02-11 00:00:00",NA,"HEAD",NA,NA,NA,"2015-09-15 00:00:00",NA,NA,2015,9,"fall",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2014-10-12,"PIT BULL","FEMALE","BROWN",1,"2014-10-23 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2014,10,"fall",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2011-03-05,NA,NA,"BLACK",NA,NA,"NO","BODY","2011-03-05 00:00:00",NA,NA,NA,NA,NA,2011,3,"spring",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2011-02-24,NA,"MALE","BLACK",NA,NA,"NO","HEAD","2011-02-24 00:00:00",NA,NA,NA,NA,NA,2011,2,"winter",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2010-05-13,NA,"MALE","BRN-GRAY",NA,NA,"NO","BODY","2010-05-14 00:00:00","RELEASED",NA,NA,"UNKNOWN",NA,2010,5,"spring",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2016-07-26,NA,"MALE","BLK WHT",NA,NA,NA,"HEAD",NA,NA,NA,NA,NA,NA,2016,7,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2012-12-25,"PIT BULL","FEMALE","TRI",NA,"2012-06-12 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2012,12,"winter",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2011-06-24,NA,"MALE","BROWN",1,"2011-07-10 00:00:00","NO","BODY","2011-06-27 00:00:00",NA,NA,NA,NA,NA,2011,6,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2011-09-01,"PIT BULL","MALE","BRN-WHT",NA,NA,"NO","BODY",NA,"KILLED",2011-09-01,NA,"NEGATIVE",0,2011,9,"fall",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2013-06-23,"PIT BULL","FEMALE","BRN WHT",1,"2013-07-10 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2013,6,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2015-03-22,"AAUST. TERR.","MALE","WHITE BRN",NA,NA,NA,"UNKNOWN",NA,NA,NA,NA,NA,NA,2015,3,"spring",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2011-10-06,"PIT BULL","MALE","BROWN",1,"2011-10-20 00:00:00","YES","BODY","2011-10-12 00:00:00","RELEASED",NA,NA,NA,NA,2011,10,"fall",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2015-05-30,"BASSET HOUND",NA,"CREAM WHIT",3,"2015-01-14 00:00:00",NA,"BODY",NA,NA,NA,"2015-06-12 00:00:00",NA,NA,2015,5,"spring",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2010-06-17,NA,"UNKNOWN",NA,NA,NA,"YES","BODY","2010-06-17 00:00:00","UNKNOWN",NA,NA,"UNKNOWN",NA,2010,6,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2011-03-27,NA,"FEMALE","BLK",NA,NA,"NO","BODY","2011-04-05 00:00:00",NA,NA,NA,NA,NA,2011,3,"spring",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","CAT",2011-07-18,NA,"FEMALE","BLK",1,"2011-07-21 00:00:00","NO","BODY","2011-07-20 00:00:00",NA,NA,NA,NA,NA,2011,7,"summer",1561,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","CAT",2010-04-22,NA,"MALE","GRAY-WHT",NA,NA,"NO","BODY","2010-04-22 00:00:00","RELEASED",NA,NA,"UNKNOWN",NA,2010,4,"spring",1561,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2017-08-20,NA,"FEMALE","GOLD",NA,NA,NA,"HEAD",NA,NA,NA,NA,NA,NA,2017,8,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","CAT",2016-06-06,NA,"FEMALE","TAN BRN",1,"2015-09-03 00:00:00",NA,"UNKNOWN",NA,NA,NA,"2016-06-16 00:00:00",NA,NA,2016,6,"summer",1561,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2016-10-14,"SIBERAN HUSKY","FEMALE","BRN WHT",1,"2016-11-11 00:00:00",NA,"BODY",NA,NA,NA,"2016-11-03 00:00:00",NA,NA,2016,10,"fall",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2015-07-13,"LABRADOR RETRIV","MALE","BLACK",NA,NA,"YES","UNKNOWN",NA,NA,NA,NA,NA,NA,2015,7,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2014-02-10,NA,NA,"BROWN/BLAC",NA,NA,NA,"HEAD",NA,NA,NA,"2014-02-21 00:00:00",NA,NA,2014,2,"winter",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2011-06-02,NA,NA,NA,NA,NA,"YES","BODY",NA,NA,NA,NA,NA,NA,2011,6,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213",NA,2012-04-30,NA,NA,NA,NA,NA,NA,"UNKNOWN",NA,NA,NA,NA,NA,NA,2012,4,"spring",107,"wildlife","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2016-11-12,"LABRADOR RETRIV","MALE","BROWN",NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2016,11,"fall",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","CAT",2017-05-26,NA,NA,"CALICO",NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2017,5,"spring",1561,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2016-06-13,"SHIH TZU","FEMALE","BLACK",NA,NA,NA,"BODY",NA,NA,2016-06-15,NA,"NEGATIVE",2,2016,6,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","CAT",2011-07-19,NA,"MALE","BEIGE",1,"2011-03-09 00:00:00","YES","BODY",NA,NA,NA,NA,NA,NA,2011,7,"summer",1561,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2013-05-09,"PIT BULL","FEMALE","BRINDLE",1,"2012-06-06 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2013,5,"spring",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","CAT",2011-09-02,NA,"MALE","TRI",NA,NA,"NO","BODY","2011-09-07 00:00:00","RELEASED",NA,NA,NA,NA,2011,9,"fall",1561,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2016-06-15,NA,NA,"BRN",NA,NA,"YES","UNKNOWN",NA,NA,NA,NA,NA,NA,2016,6,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2011-10-20,NA,"MALE","TRI",1,"2011-11-07 00:00:00","NO","BODY","2011-10-21 00:00:00","RELEASED",NA,NA,NA,NA,2011,10,"fall",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2012-10-13,NA,"FEMALE","BROWN",NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2012,10,"fall",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","CAT",2017-06-22,NA,"FEMALE","BRN WHT",1,"2017-07-26 00:00:00",NA,"BODY",NA,NA,NA,"2017-07-05 00:00:00",NA,NA,2017,6,"summer",1561,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2013-01-03,NA,NA,"BLACK",NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2013,1,"winter",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2017-05-25,"CHICHAUHUA","FEMALE","BRN",1,NA,NA,"UNKNOWN",NA,NA,NA,"2017-06-07 00:00:00",NA,NA,2017,5,"spring",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2011-06-26,NA,"MALE","BLK-WHT",3,"2009-07-20 00:00:00","NO","HEAD","2011-06-27 00:00:00",NA,NA,NA,NA,NA,2011,6,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2016-05-03,NA,"MALE","BLK BRN",1,"2015-06-19 00:00:00",NA,"BODY",NA,NA,NA,"2016-05-13 00:00:00",NA,NA,2016,5,"spring",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2017-05-05,"WESTIE","FEMALE",NA,1,"2016-09-21 00:00:00",NA,"UNKNOWN",NA,NA,NA,"2017-05-16 00:00:00",NA,NA,2017,5,"spring",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2013-06-26,"HUSKY","MALE",NA,1,"2013-07-16 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2013,6,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2011-01-10,NA,"MALE","BRINDLE",1,"2010-12-17 00:00:00","NO","HEAD","2011-01-13 00:00:00","RELEASED",NA,NA,"UNKNOWN",NA,2011,1,"winter",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2012-07-12,"RAT TERRIER","FEMALE","RED/WHT",1,"2012-01-10 00:00:00",NA,"HEAD",NA,NA,NA,NA,NA,NA,2012,7,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2010-09-14,NA,"MALE","BLK-GRAY",1,"2010-09-14 00:00:00","NO","HEAD","2010-09-16 00:00:00","RELEASED",NA,NA,"UNKNOWN",NA,2010,9,"fall",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2015-02-12,"SCHNAUZER","FEMALE","BRN WHITE",NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2015,2,"winter",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","CAT",2017-08-09,NA,"FEMALE","WHT CALICO",NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2017,8,"summer",1561,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2016-09-16,"BOSTON TERRIER","MALE","BLK WHT",1,"2016-10-01 00:00:00",NA,"HEAD",NA,NA,NA,"2016-09-26 00:00:00",NA,NA,2016,9,"fall",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","CAT",2010-10-31,NA,"UNKNOWN",NA,NA,NA,"NO","BODY","2010-11-02 00:00:00","UNKNOWN",NA,NA,"UNKNOWN",NA,2010,10,"fall",1561,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2014-02-11,NA,"FEMALE","BLK/WHT",3,"2013-11-18 00:00:00","NO","HEAD","2014-02-18 00:00:00","RELEASED",NA,NA,NA,NA,2014,2,"winter",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2014-02-16,"PIT BULL","MALE","WHITE/GRAY",NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2014,2,"winter",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","CAT",2016-06-03,NA,"MALE","WHITE",1,"2016-06-08 00:00:00",NA,"BODY",NA,NA,NA,"2016-06-15 00:00:00",NA,NA,2016,6,"summer",1561,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2012-02-06,NA,"MALE","BLACK",1,"2012-03-04 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2012,2,"winter",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","CAT",2011-09-30,NA,"FEMALE","BLK-WHT",NA,NA,"NO","BODY","2011-10-03 00:00:00","RELEASED",NA,NA,NA,NA,2011,9,"fall",1561,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","CAT",2012-06-07,NA,NA,"GRAY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,6,"summer",1561,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2011-12-04,"SHIH TZU","MALE","TAN-WHITE",NA,NA,"NO","HEAD","2011-12-05 00:00:00",NA,NA,NA,NA,NA,2011,12,"winter",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2016-11-17,"GERM SHEPHERD",NA,"BRN",3,"2016-12-07 00:00:00",NA,"BODY",NA,NA,NA,"2016-11-28 00:00:00",NA,NA,2016,11,"fall",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2011-07-08,NA,"FEMALE","BLK-WHITE",1,"2010-10-23 00:00:00","NO","BODY","2011-07-11 00:00:00",NA,NA,NA,NA,NA,2011,7,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","CAT",2012-03-06,NA,"MALE","GRAY/WHT",NA,NA,NA,"BODY",NA,NA,NA,NA,NA,NA,2012,3,"spring",1561,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2014-09-25,NA,"FEMALE","BRN WHT",1,"2014-03-15 00:00:00",NA,"BODY",NA,NA,NA,NA,NA,NA,2014,9,"fall",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2016-06-18,"GERM SHEPHERD","MALE","BRN TAN",1,"2016-07-06 00:00:00",NA,"BODY",NA,NA,NA,"2016-07-05 00:00:00",NA,NA,2016,6,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
"40213","DOG",2017-06-19,"LABRADOR RETRIV","FEMALE","BROWN",1,"2017-04-20 00:00:00",NA,"HEAD",NA,NA,NA,"2017-07-05 00:00:00",NA,NA,2017,6,"summer",7003,"domestic","US","Louisville","Kentucky","KY","Jefferson",111,"",NA,38.1839,-85.7106,4
